1;1
2;1
3;1
4;1
5;1
6;2
7;2
8;4
9;4
10;6
11;6
12;8
13;10
14;14
15;18
16;24
17;29
18;36
19;44
20;58
21;72
22;91
23;113
24;143
25;178
26;226
27;275
28;353
29;447
30;516
31;666
32;854
33;946
34;1236
35;1257
36;1660
37;2192
38;2098
39;2840
40;2501
41;3423
42;4682
43;3894
44;5460
45;6160
46;5983
47;8491
48;6204
49;9039
50;13057
51;9142
52;13489
53;8725
54;13223
55;19776
56;12316
57;18910
58;18890
59;17289
60;26808
61;15104
62;24076
63;37855
64;20767
65;33364
66;17201
67;28357
68;45994
69;23194
70;38572
71;35789
72;31302
73;52263
74;24457
75;41905
76;61020
77;32581
78;56121
79;24568
80;43328
81;75101
82;32442
83;57416
84;32059
85;42867
86;76263
87;31212
88;56695
89;83708
90;41041
91;74803
92;29161
93;54019
94;98828
95;38063
96;71007
97;26317
98;50079
99;93662
100;34427
101;65592
102;84468
103;45182
104;86195
105;30585
106;59297
107;102316
108;40179
109;77944
110;26725
111;52746
112;102387
113;35180
114;69305
115;58058
116;46168
117;91186
118;30412
119;60871
120;108812
121;40213
122;80246
123;26237
124;52894
125;105753
126;34714
127;70008
128;22587
129;45843
130;92295
131;29941
132;60685
133;85957
134;39760
135;80393
136;26102
137;52923
138;104377
139;34878
140;70470
141;23072
142;46651
143;93945
144;30928
145;62173
146;70388
147;41090
148;82776
149;27251
150;54857
151;104583
152;36460
153;73273
154;24362
155;48729
156;97736
157;32578
158;65275
159;21737
160;43498
161;87026
162;28969
163;57964
164;102399
165;38534
166;77185
167;25427
168;51167
169;102622
170;33674
171;68010
172;22063
173;44675
174;90179
175;29383
176;59513
177;70769
178;38893
179;78890
180;25093
181;51301
182;101461
183;33255
184;68004
185;21235
186;43827
187;89822
188;27962
189;57789
190;23593
191;36883
192;76505
193;23323
194;48861
195;97847
196;30842
197;64624
198;19320
199;41037
200;85816
201;25588
202;54083
203;15830
204;33804
205;71455
206;20817
207;44568
208;68136
209;27573
210;59251
211;16878
212;36533
213;76933
214;22208
215;48365
216;13304
217;29438
218;63808
219;17546
220;38769
221;16161
222;23266
223;51311
224;13654
225;30704
226;66551
227;18058
228;40734
229;10375
230;23897
231;53798
232;13759
233;31752
234;7851
235;18424
236;42339
237;10605
238;24765
239;49951
240;14178
241;32890
242;7996
243;18955
244;43141
245;10741
246;25385
247;6061
248;14521
249;34098
250;8164
251;19570
252;11072
253;11084
254;26217
255;6164
256;14938
257;34848
258;8476
259;20241
260;4686
261;11440
262;27137
263;6393
264;15434
265;3531
266;8688
267;20872
268;4883
269;11839
270;26567
271;6710
272;16135
273;3710
274;9039
275;21725
276;5043
277;12324
278;2714
279;6794
280;16737
281;3761
282;9336
283;9683
284;5145
285;12662
286;2843
287;7064
288;17076
289;3860
290;9616
291;2045
292;5272
293;13146
294;2827
295;7197
296;1459
297;3826
298;9753
299;2030
300;5298
301;13005
302;2847
303;7256
304;1525
305;3941
306;9992
307;2131
308;5476
309;1119
310;2975
311;7598
312;1634
313;4186
314;6611
315;2249
316;5723
317;1167
318;3079
319;7740
320;1652
321;4209
322;858
323;2267
324;5839
325;1177
326;3157
327;947
328;1648
329;4345
330;845
331;2268
332;5955
333;1215
334;3222
335;624
336;1702
337;4503
338;859
339;2358
340;435
341;1199
342;3326
343;635
344;1708
345;3522
346;886
347;2408
348;449
349;1263
350;3405
351;631
352;1732
353;314
354;887
355;2421
356;442
357;1250
358;418
359;636
360;1772
361;311
362;904
363;2525
364;468
365;1313
366;233
367;691
368;1855
369;329
370;924
371;147
372;432
373;1253
374;214
375;618
376;1642
377;303
378;891
379;150
380;448
381;1270
382;227
383;659
384;118
385;339
386;957
387;174
388;499
389;364
390;249
391;707
392;117
393;345
394;982
395;161
396;499
397;55
398;237
399;727
400;120
401;356
402;50
403;169
404;513
405;75
406;242
407;711
408;119
409;356
410;53
411;171
412;524
413;77
414;239
415;30
416;110
417;352
418;48
419;177
420;232
421;86
422;277
423;47
424;143
425;388
426;68
427;199
428;25
429;87
430;284
431;32
432;120
433;19
434;57
435;184
436;26
437;82
438;270
439;42
440;134
441;19
442;60
443;207
444;34
445;107
446;17
447;50
448;150
449;21
450;66
451;138
452;27
453;92
454;13
455;49
456;160
457;24
458;80
459;9
460;36
461;114
462;12
463;53
464;20
465;14
466;65
467;6
468;24
469;93
470;13
471;42
472;6
473;18
474;64
475;10
476;33
477;6
478;20
479;57
480;4
481;21
482;61
483;6
484;28
485;3
486;11
487;37
488;4
489;16
490;4
491;10
492;33
493;5
494;16
495;4
496;9
497;19
498;3
499;10
500;33
501;5
502;19
503;3
504;9
505;26
506;5
507;14
508;2
509;7
510;23
511;5
512;10
513;25
514;6
515;18
516;2
517;9
518;30
519;5
520;19
521;2
522;8
523;23
524;6
525;15
526;3
527;7
528;19
529;6
530;14
531;33
532;7
533;18
534;2
535;7
536;19
538;5
540;1
541;10
543;5
544;19
545;1
546;7
548;2
549;10
550;2
551;7
553;1
554;9
555;1
556;3
557;5
558;3
559;6
560;1
561;3
562;10
563;1
564;4
566;3
567;10
569;3
572;4
574;1
575;4
577;3
580;4
582;1
584;1
585;2
587;1
588;2
590;1
593;1
595;1
597;1
598;2
601;1
603;1
606;2
608;1
611;1
613;1
616;2
621;1
663;1
665;1
668;1
686;1
